scope,scenario,variant,points,wins,losses,draws,games,avg_disc_diff,json_path
scenario,noisy240-mtdf-seed29,active,6,6,2,0,8,8,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/active.json
scenario,noisy240-mtdf-seed29,s151-full-both,5,5,3,0,8,4.5,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s151-full-both.json
scenario,noisy240-mtdf-seed29,s151-safe-full,5.5,5,2,1,8,13.125,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s151-safe-full.json
scenario,noisy240-mtdf-seed29,s154-main,5,5,3,0,8,7.875,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s154-main.json
scenario,noisy240-mtdf-seed29,s154-both,5,5,3,0,8,7.5,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s154-both.json
scenario,noisy240-mtdf-seed29,s154-main-s158-quiet,6,6,2,0,8,13.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s154-main-s158-quiet.json
scenario,noisy240-mtdf-seed29,s154-main-s158-open,8,8,0,0,8,21.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s154-main-s158-open.json
scenario,noisy240-mtdf-seed29,s154-both-s158-both,6,6,2,0,8,12.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed29/s154-both-s158-both.json
scenario,noisy240-mtdf-seed53,active,5,5,3,0,8,7,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/active.json
scenario,noisy240-mtdf-seed53,s151-full-both,5,5,3,0,8,10.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s151-full-both.json
scenario,noisy240-mtdf-seed53,s151-safe-full,7,7,1,0,8,19.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s151-safe-full.json
scenario,noisy240-mtdf-seed53,s154-main,6,6,2,0,8,17.375,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s154-main.json
scenario,noisy240-mtdf-seed53,s154-both,7,7,1,0,8,22.5,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s154-both.json
scenario,noisy240-mtdf-seed53,s154-main-s158-quiet,7,7,1,0,8,20.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s154-main-s158-quiet.json
scenario,noisy240-mtdf-seed53,s154-main-s158-open,8,8,0,0,8,24.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s154-main-s158-open.json
scenario,noisy240-mtdf-seed53,s154-both-s158-both,7,7,1,0,8,13,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-mtdf-seed53/s154-both-s158-both.json
scenario,noisy240-pvs-seed71,active,5,5,3,0,8,10.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/active.json
scenario,noisy240-pvs-seed71,s151-full-both,4,4,4,0,8,5.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s151-full-both.json
scenario,noisy240-pvs-seed71,s151-safe-full,5,5,3,0,8,4.5,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s151-safe-full.json
scenario,noisy240-pvs-seed71,s154-main,4,4,4,0,8,4.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s154-main.json
scenario,noisy240-pvs-seed71,s154-both,5,5,3,0,8,5.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s154-both.json
scenario,noisy240-pvs-seed71,s154-main-s158-quiet,5,5,3,0,8,11.25,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s154-main-s158-quiet.json
scenario,noisy240-pvs-seed71,s154-main-s158-open,5,5,3,0,8,11.75,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s154-main-s158-open.json
scenario,noisy240-pvs-seed71,s154-both-s158-both,4,4,4,0,8,1.625,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed71/s154-both-s158-both.json
scenario,noisy240-pvs-seed89,active,4.5,4,3,1,8,9,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed89/active.json
scenario,noisy240-pvs-seed89,s151-full-both,5.5,5,2,1,8,4,tools/engine-match/out/_stage15x_restart_round6_base_overlay_parallel/results/noisy240-pvs-seed89/s151-full-both.json
